,zcr,ste,rms,peak,cent,rolloff,cen_eas,cen_wes,bak_sou,bak_nor,vic_sou,vic_nor,train
6284,-0.23838792654838756,-0.08615989433992961,0.07175382821200127,-0.1752989545172705,-0.82662753197629,-1.2065078291578626,0,0,0,0,0,0,0
6285,-0.04429735404311952,-0.35587316725525636,-0.30920783925598017,-0.37016783926374547,-0.6801126067102499,-0.20222154968673103,0,0,0,0,0,0,0
6286,0.18679881399817214,-0.5094693609500575,-0.556977591372236,-0.5433847003905692,-0.30227381543746773,0.2597748445595207,0,0,0,0,0,0,0
6287,0.4065667385080271,-0.618535844926296,-0.752498832794295,-0.6444277333468897,0.09172304298059257,0.4549497918614127,0,0,0,0,0,0,0
6288,0.5372191472372545,-0.6332146622703698,-0.7803770731285271,-0.5145152075320601,0.6596628872457471,0.6155367738186661,0,0,0,0,0,0,0
6289,0.6958145566773565,-0.5996152083853208,-0.7171587858920037,-0.5145152075320601,0.2662761724137697,0.5945369377165646,0,0,0,0,0,0,0
6290,0.5870634187755724,-0.5948026733611781,-0.7082727274062816,-0.6155583365126113,0.5659368108822963,0.6204779117250429,0,0,0,0,0,0,0
6291,0.05992248644609002,-0.4077915539771665,-0.3899122299545646,-0.30521157635633067,0.16198902099118617,0.5550078344655478,0,0,0,0,0,0,0
6292,-0.4083115795199254,-0.10175159042378293,0.05119681565848347,-0.2619073370685671,-0.1316522964359685,0.4166559730869905,0,0,0,0,0,0,0
6293,-0.6152408280274869,0.15790319278382,0.3753652007582772,-0.13199471522950695,-0.8944217551613819,-0.35663210926101313,0,0,0,0,0,0,0
6294,-0.44607239129137827,0.42403652972131184,0.6749453161451375,0.4598293122245452,-1.0305574585868456,-1.173155148289817,0,0,0,0,0,0,0
6295,-0.10924595029001861,0.49518786637989765,0.7505651876070417,0.4598293122245452,-0.8884915731256686,-1.7969738089699168,0,0,1,0,0,0,1
6296,0.0757820273901004,0.4596873136012057,0.7130478876411586,0.6330460773271384,-0.6917286859847999,-1.7203861714210738,0,0,1,0,0,0,1
6297,0.20039270623589484,0.5303725606038059,0.7873442006279588,0.6330460773271384,-0.6358222471955928,-1.903208273957023,0,0,0,0,0,0,0
6298,0.1022145956301174,0.5815496730738683,0.8401477125528981,0.4959161782976815,-0.39457165981036146,-1.7179156024678846,0,0,0,0,0,0,0
6299,-0.02617216439282232,0.3592259270115939,0.6045337261956467,0.4959161782976815,-0.7935408611207876,-2.5406150638796596,0,0,0,0,0,0,0
6300,-0.003515677329950607,0.024446853927945048,0.21334444787677864,0.17113457568791585,-0.5561370565564078,-1.7216214558976668,0,0,0,0,0,0,0
6301,-0.2368774940775291,-0.10404020668735928,0.048166167303668794,0.1278303364001523,-0.5890816599123028,-0.47768998796725115,0,0,0,0,0,0,0
6302,-0.45362455364566884,-0.07751532619250953,0.08308461203325354,-0.08869066799020445,-0.5928343044959261,-0.03298757639331871,0,0,0,0,0,0,0
6303,-0.3788581463381919,0.24705099525049512,0.4789173962593513,0.6907850630441564,-0.537218164665572,-0.09475180022303153,0,0,0,0,0,0,0
6304,-0.5752143675497468,1.0146150032913561,1.2584909058770435,1.6506945482988158,-0.7483123266154332,-0.9680979251751702,0,0,0,0,0,0,0
6305,-0.7285232633418455,1.3097920987644844,1.5196253428427458,1.6506945482988158,-0.840685284823168,-1.9797959115058676,0,0,0,0,0,0,0
6306,-0.574459151314318,0.9293844947888933,1.179775106248978,1.0877402057517336,-0.8958408996748531,-1.8389734811741212,0,0,0,0,0,0,0
6307,-0.5064896901257029,0.7780031715762269,1.0358180932002152,1.1743486843272608,-0.8681720792580263,-1.6586219475913608,0,0,0,0,0,0,0
6308,-0.37961336257362116,0.5781668555039424,0.8366821004057443,1.1743486843272608,-0.7260212606689721,-0.9631567872687935,0,0,0,0,0,0,0
6309,-0.02013043450938978,-0.05467056886160075,0.1128041734384193,0.5969592112540021,-0.566200780638541,-0.3455145489716651,0,0,0,0,0,0,0
6310,-0.00880219097795392,-0.27435202228447225,-0.18782815411819015,0.048439423087713485,0.3450855783294708,0.6180073427718551,0,0,0,0,0,0,0
6311,-0.6371420988549295,0.32283039341441416,0.5643157996407203,0.9361755602930222,-0.294307822036314,0.13748168137668956,0,0,0,0,0,0,0
6312,-1.0358962711614716,0.9875078134986764,1.233628894642447,0.9361755602930222,-1.0238553941010007,-0.41098462623116155,0,0,0,0,0,0,0
6313,-0.9301659982014037,1.1286154820945022,1.3613611558603234,0.7340891102834589,-1.271943446627333,-2.0020310320845636,0,0,0,0,0,0,0
6314,-0.9981354593900188,1.0873820828138259,1.3244611819332524,0.41652507293678165,-1.1855719712028758,-2.0551482645781176,0,0,0,0,0,0,0
6315,-1.1960021130724316,1.3666472627557826,1.5680652417353291,0.7124371826880382,-1.2432085373374409,-2.024266152663261,0,0,0,0,0,0,0
6316,-1.0177710815111745,0.9593303100618462,1.2076151984419994,0.7124371826880382,-1.6103375239191295,-2.3553223923905215,0,0,0,0,0,0,0
6317,-0.5117762037737061,0.021692489604856025,0.2099037427484085,-0.030951682273186367,-1.40067662720602,-1.6153869909105618,0,1,0,0,0,0,1
6318,-0.09338640934600824,-0.34488560926081896,-0.29248304472762426,-0.3268635999759819,-0.4890795068503612,0.2523631376999549,0,1,0,0,0,0,1
6319,0.16942884058330332,-0.4221598544254003,-0.4127621850904068,-0.3268635999759819,-0.3773791128993661,0.14489338823625397,0,1,0,0,0,0,1
6320,0.2525026264804996,-0.42375407451460295,-0.4153119042715276,-0.19695097813692178,-0.31195067228820145,0.20542232758937368,0,0,0,0,0,0,0
6321,0.07804767609638766,-0.3580730066719541,-0.3125707441309436,-0.19695097813692178,-0.31666227188816615,0.22765744816806974,0,0,0,0,0,0,0
6322,-0.09036554440429218,-0.2565216618633867,-0.1620703070846146,-0.2546899638539398,-0.44834079525113496,-0.007046602384839034,0,0,0,0,0,0,0
6323,-0.3327899559770197,0.013324062092991015,0.19942452232016028,-0.2113857245661763,-0.594198509433498,0.04483534563212031,0,0,0,0,0,0,0
6324,-0.48911971671083443,0.47305445764430964,0.7272233831061042,0.5031333594638477,-1.1378378406132403,-0.46163128977152496,0,0,0,0,0,0,0
6325,-0.5820113136686086,1.5336638996209113,1.7072451459372509,1.2320876700442789,-0.4704858859322188,0.08189387992994801,0,0,0,0,0,0,0
